date,temperature_2m_max,temperature_2m_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
2024-04-01 06:00:00+00:00,31.3955,16.345499,0,0,44523.652,41947.355,9.25,9.4,0.0
2024-04-02 06:00:00+00:00,30.1955,16.9955,0,0,44592.82,42014.98,9.45,9.5,0.0
2024-04-03 06:00:00+00:00,31.8955,14.9955,0,0,44662.113,42082.543,9.5,9.5,0.0
2024-04-04 06:00:00+00:00,30.845499,13.2955,0,0,44731.508,39321.26,9.3,9.45,0.0
2024-04-05 06:00:00+00:00,31.1955,12.445499,0,0,44800.97,41895.836,9.05,9.45,0.0
2024-04-06 06:00:00+00:00,32.5455,15.5455,0,0,44870.438,42285.023,8.7,9.55,0.0
2024-04-07 06:00:00+00:00,32.6455,14.5455,0,0,44939.87,42352.29,9.2,9.5,0.0
2024-04-08 06:00:00+00:00,33.0955,14.445499,0,0,45009.227,42419.375,9.5,9.5,0.0
2024-04-09 06:00:00+00:00,32.245502,15.0955,0,0,45078.457,42486.234,9.45,9.5,0.0
2024-04-10 06:00:00+00:00,30.845499,15.1455,0,0,45147.508,42530.414,9.45,9.45,0.0
2024-04-11 06:00:00+00:00,32.0455,14.2955,0,0,45216.34,42547.426,9.3,9.5,0.0
2024-04-12 06:00:00+00:00,31.9455,17.845499,0,0,45284.895,40851.07,9.35,9.55,0.0
2024-04-13 06:00:00+00:00,32.995502,19.345499,0,0,45353.133,39831.11,9.1,9.6,0.0
2024-04-14 06:00:00+00:00,34.0455,19.9955,0,0,45420.996,33812.87,6.9,9.55,0.0
2024-04-15 06:00:00+00:00,34.695503,18.8955,0,0,45488.434,40926.605,8.9,9.6,0.0
2024-04-16 06:00:00+00:00,35.445503,19.2955,0,0,45555.4,42634.215,9.5,9.6,0.0
2024-04-17 06:00:00+00:00,35.195503,19.345499,0,0,45621.832,42652.082,9.6,9.6,0.0
2024-04-18 06:00:00+00:00,35.2955,18.2955,0,0,45687.688,42670.164,9.6,9.6,0.0
2024-04-19 06:00:00+00:00,34.995502,18.3955,0,0,45752.902,42688.49,9.6,9.6,0.0
2024-04-20 06:00:00+00:00,34.5455,17.3955,0,0,45817.43,42737.65,9.65,9.65,0.0
2024-04-21 06:00:00+00:00,35.0955,17.3955,0,0,45881.207,42754.656,9.6,9.6,0.0
2024-04-22 06:00:00+00:00,34.1455,17.0455,0,0,45944.37,42771.434,9.6,9.6,0.0
2024-04-23 06:00:00+00:00,33.995502,16.8955,0,0,46007.35,42842.477,9.6,9.6,0.0
2024-04-24 06:00:00+00:00,34.245502,17.1455,0,0,46070.117,42861.547,9.5,9.55,0.0
2024-04-25 06:00:00+00:00,33.995502,16.7955,0,0,46132.625,42803.695,9.6,9.6,0.0
2024-04-26 06:00:00+00:00,32.0955,17.1955,0,0,46194.82,41568.8,8.4,9.6,0.0
2024-04-27 06:00:00+00:00,32.5955,14.945499,0,0,46256.656,42852.277,9.25,9.6,0.0
2024-04-28 06:00:00+00:00,31.9455,14.4955,0,0,46318.082,43137.19,9.6,9.6,0.0
2024-04-29 06:00:00+00:00,33.0455,16.595499,0,0,46379.047,43161.97,9.6,9.6,0.0
2024-04-30 06:00:00+00:00,33.5455,17.1955,0,0,46439.496,43186.35,9.25,9.6,0.0
2024-05-01 06:00:00+00:00,33.745502,17.3955,0,0,46499.38,43210.383,9.55,9.6,0.0
2024-05-02 06:00:00+00:00,34.2955,18.1455,0,0,46558.637,43309.863,9.6,9.65,0.0
